,Mean Forecast
2024-01-31,3.293373
2024-02-29,3.1941693
2024-03-31,3.0374951
2024-04-30,2.9591053
2024-05-31,3.0992544
2024-06-30,3.6047213
2024-07-31,4.0149007
2024-08-31,4.1056
2024-09-30,3.7822967
2024-10-31,3.4661856
2024-11-30,3.4433885
2024-12-31,3.3743021
2025-01-31,3.281205
2025-02-28,3.0865908
2025-03-31,2.9538562
2025-04-30,3.1507342
2025-05-31,3.786418
2025-06-30,4.020382
2025-07-31,4.2806716
2025-08-31,3.966918
2025-09-30,3.4991486
2025-10-31,3.4108438
2025-11-30,3.356095
2025-12-31,3.2918775
2026-01-31,3.140767
2026-02-28,3.0639565
2026-03-31,3.1425054
2026-04-30,3.7616732
2026-05-31,4.0172634
2026-06-30,4.2432747
2026-07-31,3.9786363
2026-08-31,3.655713
2026-09-30,3.5088143
2026-10-31,3.4495664
2026-11-30,3.2910442
2026-12-31,3.0439792
2027-01-31,3.0094726
2027-02-28,3.2698336
2027-03-31,3.9090803
2027-04-30,4.216282
2027-05-31,4.1992292
2027-06-30,3.8810327
2027-07-31,3.5271592
2027-08-31,3.4432807
2027-09-30,3.4545493
2027-10-31,3.2475793
2027-11-30,3.0139225
2027-12-31,2.9436986
2028-01-31,3.1378133
2028-02-29,3.6588585
2028-03-31,4.130849
2028-04-30,4.1933684
2028-05-31,3.8711736
2028-06-30,3.5222821
2028-07-31,3.3836267
2028-08-31,3.3806195
2028-09-30,3.2366455
2028-10-31,3.0158856
2028-11-30,2.9801261
2028-12-31,3.297452
2029-01-31,3.565763
2029-02-28,3.9806395
2029-03-31,4.1522536
2029-04-30,3.85284
2029-05-31,3.529642
2029-06-30,3.366315
2029-07-31,3.37448
2029-08-31,3.1876516
2029-09-30,3.0076194
2029-10-31,2.9849365
2029-11-30,3.2711945
2029-12-31,3.7523878
2030-01-31,4.0061026
2030-02-28,4.134247
2030-03-31,3.9154525
2030-04-30,3.5092218
2030-05-31,3.4016395
2030-06-30,3.3069701
2030-07-31,3.164308
2030-08-31,2.941495
2030-09-30,2.9849834
2030-10-31,3.1322603
2030-11-30,3.7395823
2030-12-31,4.198184
2031-01-31,4.119948
2031-02-28,3.826281
2031-03-31,3.4959342
2031-04-30,3.3534687
2031-05-31,3.3821697
2031-06-30,3.241925
2031-07-31,3.0247595
2031-08-31,2.9674141
2031-09-30,3.1356382
2031-10-31,3.6521258
2031-11-30,4.086618
2031-12-31,4.0397334
2032-01-31,3.8454604
2032-02-29,3.5247257
2032-03-31,3.3480172
2032-04-30,3.3712637
2032-05-31,3.1293213
2032-06-30,3.05439
2032-07-31,2.953866
2032-08-31,3.1639163
2032-09-30,3.618683
2032-10-31,4.1252875
2032-11-30,4.2075996
2032-12-31,3.8700116
2033-01-31,3.569097
2033-02-28,3.3050287
2033-03-31,3.3047209
2033-04-30,3.2623649
2033-05-31,3.0571907
2033-06-30,2.9879467
2033-07-31,3.1637864
2033-08-31,3.6221912
2033-09-30,4.1267653
2033-10-31,4.077854
2033-11-30,3.8465884
2033-12-31,3.4994738
